Compound name,rA,rA',rad_diff,TF,Adis ,A'dis ,rot_angle,tilt_angle,QR+,QT,QAFEO,QJT2D,CD2D,R-barrier,polar_modes,Energy
SrSnNiFeO6,1.26,0.81,0.45,0.83603687,0.037949886,0.067413994,25.5858066,14.05313109,0.7843,1.56591,0.71787,0,0.09399,31.4099371,0.48672,-157.0496855
SrZrCoFeO6,1.26,0.84,0.42,0.829981706,0.028396266,0.057841307,22.19496083,13.58544243,0.8796,1.66938,0.55993,0,0.09578,28.96059578,2.96397,-144.8029789
ZnCeCrFeO6,0.9,0.97,0.07,0.77972643,0.032560556,0.081136632,24.71250838,12.61220051,0.7562,1.65155,0.62814,0,0.08099,27.39001042,3.76563,-136.9500521
ZnSnCrRuO6,0.9,0.81,0.09,0.756993175,0.038457039,0.066126539,21.00896019,13.969168,0.7993,1.61779,0.7201,0,0.07636,27.52040524,1.89808,-137.6020262
ZnSnVCrO6,0.9,0.81,0.09,0.825082508,0.030415997,0.064430019,20.66313707,12.79738673,1.0016,2.59266,1.16591,0,0.23346,28.0309518,1.06956,-140.154759
ZnSrVZrO6,0.9,1.26,0.36,0.872349744,0.026647359,0.076025556,22.869707,10.41759762,0.8857,2.54127,1.02488,0,0.40997,29.3298494,3.07309,-146.649247
BaTeO3/NdTeO3,1.47,1.35,0.12,0.384980359,0.017956281,0.054958986,7.278860534,9.40366622,1.21135,1.7098,0.1121325,0.06978,0,40.81018691,2.156975,-143.2352
CaCeO3/BaCeO3,1.18,1.47,0.29,0.41122522,0.01188466,0.057157951,5.02407196,8.099107938,1.1485,1.5651,0.04255,0.03849,0,38.186197,1.98237,-134.8407
CaCeO3/EuCeO3,1.18,1.3,0.12,0.392244139,0.011107933,0.053621533,5.330007934,7.416748591,1.29164,1.9253,0.06295,0.03866,0,46.425541,1.98864,-135.2976
CaCeO3/NdCeO3,1.18,1.35,0.17,0.398074929,0.013761491,0.065435697,24.12219138,12.00480139,1.25268,1.819,0.06609,0.037075,0,42.96454721,1.963135,-141.6645472
CaCeO3/SmCeO3,1.18,1.32,0.14,0.394602661,0.013761491,0.065435697,24.12709884,12.00182369,1.27699,1.90766,0.06923,0.03549,0,44.410622,1.93763,-120.0465584
CaCeO3/SrCeO3,1.18,1.31,0.13,0.393427833,0.012573944,0.058758056,4.511629401,8.455714654,1.28428,1.9181,0.04656,0.03402,0,45.137092,1.9338,-135.3766
CaPbO3/EuPbO3,1.18,1.3,0.12,0.392244139,0.005689711,0.047447325,20.39482673,8.219798535,0.8796,1.4497,0.06176,0.05126,0,33.98467,1.9995,-134.8607192
CaPbO3/NdPbO3,1.18,1.35,0.17,0.398074929,0.009650868,0.047739059,5.307620124,6.525845998,0.7993,1.3796,0.54153,0.08586,0,30.57623752,2.11771,-133.7023
CaPbO3/SmPbO3,1.18,1.32,0.14,0.394602661,0.003560992,0.053095482,2.398192903,6.951103045,0.82939,1.3947,0.58055,0.10852,0,31.27752,2.10787,-138.7651969
CeErO3/BiErO3,1.196,1.24,0.044,0.380581797,0.011363378,0.055762488,5.337322779,7.730231075,1.7417,2.2934,0.08647,0.07356,0,57.465557,2.39289,-127.434869
CeInO3/PrInO3,1.196,1.179,0.017,0.382212325,0.013588852,0.060861575,4.422476583,18.90970755,1.23893,1.7914,0.0938,0.06356,0,42.020668,2.34901,-124.083912
CeLuO3/BiLuO3,1.196,1.24,0.044,0.380581797,0.022883039,0.065563132,2.683500772,12.81600424,1.32283,1.95216,0.07808,0.05473,0,47.832959,2.33831,-124.705831
CeLuO3/NdLuO3,1.196,1.163,0.033,0.389147902,0.066945515,0.058749546,22.44180609,16.9172707,1.89061,2.3142,0.04432,0.06862,0,59.688929,2.37107,-118.028907
CeLuO3/PrLuO3,1.196,1.179,0.017,0.382212325,0.066531952,0.066137911,20.98145765,18.79314628,1.7051,2.28,0.32001,0.02154,0,55.966114,1.70747,-145.874466
CeSbO3/BiSbO3,1.196,1.24,0.044,0.380581797,0.059105837,0.059743089,21.79970362,14.04028934,0.935,1.4681,0.29847,0.02077,0,35.124261,1.69514,-142.4361
CeSbO3/DySbO3,1.196,1.083,0.113,0.42519409,0.062944239,0.045880626,22.82494131,18.55827823,1.242735,1.7922,0.09389,0.05444,0,42.0433,2.07186,-126.272914
CeSbO3/ErSbO3,1.196,1.062,0.134,0.435052431,0.060481038,0.065168928,20.17819524,15.00043758,1.26339,1.89751,0.25137,0.01771,0,43.93538,1.6762,-140.7433
CeSbO3/HoSbO3,1.196,1.072,0.124,0.430336662,0.068331962,0.085572455,16.45288419,17.76735277,1.25751,1.8486,0.237815,0.01724,0,43.322992,1.668615,-129.2762375
CeSbO3/TmSbO3,1.196,1.052,0.144,0.439807465,0.060114104,0.071379839,17.36650669,16.15290175,1.26369,1.9035,0.2310375,0.017005,0,44.194,1.6598,-130.2368
CeSbO3/YbSbO3,1.196,1.042,0.154,0.444602257,0.054296338,0.056157793,18.57846668,17.73337573,1.2804,1.91288,0.22426,0.01677,0,44.5352,1.66103,-115.2057
CeScO3/BiScO3,1.196,1.24,0.044,0.380581797,0.057468657,0.070456441,19.62344812,14.11184695,0.8247,1.3926,0.139345,0.03572,0,31.27752,1.85932,-109.4196451
CeScO3/EuScO3,1.196,1.12,0.076,0.408232498,0.068403889,0.085023101,17.72211131,17.2296988,1.18067,1.64266,0.05443,0.05467,0,40.113947,2.05761,-124.0923741
CeScO3/GdScO3,1.196,1.107,0.089,0.414133764,0.050954077,0.060851158,21.17100484,16.26871237,1.2021,1.6678,0.26364,0.01542,0,40.404507,1.55119,-140.576474
CeScO3/LuScO3,1.196,1.032,0.164,0.449437308,0.062478991,0.083996254,17.9995587,18.68540335,1.25751,1.8498,0.15939,0.11752,0,43.526046,2.05471,-136.46594
CeScO3/NdScO3,1.196,1.163,0.033,0.389147902,0.052384063,0.06985874,18.33974574,17.42920744,1.1255,1.5334,0.28666,0.02489,0,36.893119,1.76596,-136.41261
CeScO3/PrScO3,1.196,1.179,0.017,0.382212325,0.05727691,0.076978064,15.29534247,19.28164422,1.0728,1.5187,0.26829,0.02348,0,36.5976,1.76577,-129.97056
CeScO3/SmScO3,1.196,1.132,0.064,0.402840044,0.050167035,0.070439105,21.49036582,15.68514393,1.1709,1.6364,0.24761,0.02342,0,39.862593,1.75412,-148.34078
CeScO3/TmScO3,1.196,1.052,0.144,0.439807465,0.07333122,0.058533354,22.90648693,15.92289043,1.23085,1.7267,0.22476,0.02219,0,41.852601,1.74438,-148.40079
CeScO3/YbScO3,1.196,1.042,0.154,0.444602257,0.068024544,0.056450242,21.58701896,14.81062741,1.2521,1.8032,0.20172,0.0206,0,42.416427,1.7343,-126.03162
CeTlO3/BiTlO3,1.196,1.24,0.044,0.380581797,0.068024544,0.056450242,8.4758885,2.418315563,1.49716,2.2205,0.17741,0.01948,0,53.256592,1.72446,-125.62965
CeTlO3/PrTlO3,1.196,1.179,0.017,0.382212325,0.071575184,0.072428966,17.14567137,16.52847105,2.1464,2.4544,0.13533,0.03166,0,65.592366,1.8782,-124.664124
CeTmO3/BiTmO3,1.196,1.24,0.044,0.380581797,0.074371663,0.06211336,25.1944287,15.04169561,1.454,2.162355,0.275,0.01901,0,51.345767,1.6803,-119.22386
